heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,40,20,9,0.002931,1850,119,0.70
monotona,40,20,10,0.003893,2644,117,0.70
monotona,40,20,1,0.002276,2371,128,0.80
monotona,40,20,2,0.001818,1996,127,0.80
monotona,40,20,3,0.001256,1404,131,0.80
monotona,40,20,4,0.001936,2229,123,0.80
monotona,40,20,5,0.001436,1602,125,0.80
monotona,40,20,6,0.002567,2694,127,0.80
monotona,40,20,7,0.000836,1027,131,0.80
monotona,40,20,8,0.000868,1043,123,0.80
monotona,40,20,9,0.001575,1473,134,0.80
monotona,40,20,10,0.001336,1696,131,0.80
monotona,40,20,1,0.000783,1420,133,0.90
monotona,40,20,2,0.001408,2668,124,0.90
monotona,40,20,3,0.001772,3549,137,0.90
monotona,40,20,4,0.000830,1606,132,0.90
monotona,40,20,5,0.000771,1494,127,0.90
monotona,40,20,6,0.000691,1220,135,0.90
monotona,40,20,7,0.000603,1063,123,0.90
monotona,40,20,8,0.000666,1068,132,0.90
monotona,40,20,9,0.000816,1833,134,0.90
monotona,40,20,10,0.000640,1353,133,0.90
monotona,75,50,1,0.132026,3380,100,0.10
monotona,75,50,2,0.115424,3036,100,0.10
monotona,75,50,3,0.093457,2478,100,0.10
monotona,75,50,4,0.063120,1746,100,0.10
monotona,75,50,5,0.064464,1801,100,0.10
monotona,75,50,6,0.075788,1988,101,0.10
monotona,75,50,7,0.057638,1563,100,0.10
monotona,75,50,8,0.085881,2218,100,0.10
monotona,75,50,9,0.060133,1613,100,0.10
monotona,75,50,10,0.092372,2490,100,0.10
monotona,75,50,1,0.040008,1520,103,0.20
monotona,75,50,2,0.044905,1439,100,0.20
monotona,75,50,3,0.066873,2304,100,0.20
monotona,75,50,4,0.055105,1923,100,0.20
monotona,75,50,5,0.041666,1431,100,0.20
monotona,75,50,6,0.056158,1857,100,0.20
monotona,75,50,7,0.049560,1715,100,0.20
monotona,75,50,8,0.044328,1394,111,0.20
monotona,75,50,9,0.054823,1872,100,0.20
monotona,75,50,10,0.074328,2580,100,0.20
monotona,75,50,1,0.042961,2044,100,0.30
monotona,75,50,2,0.038890,1796,103,0.30
monotona,75,50,3,0.033296,1589,100,0.30
monotona,75,50,4,0.066215,3066,100,0.30
monotona,75,50,5,0.028990,1264,104,0.30
monotona,75,50,6,0.038759,1748,108,0.30
monotona,75,50,7,0.033135,1447,105,0.30
monotona,75,50,8,0.040359,1839,100,0.30
monotona,75,50,9,0.027496,1344,104,0.30
monotona,75,50,10,0.025416,1197,102,0.30
monotona,75,50,1,0.020634,1255,100,0.40
monotona,75,50,2,0.021135,1383,113,0.40
monotona,75,50,3,0.041013,2497,101,0.40
monotona,75,50,4,0.044896,2558,112,0.40
monotona,75,50,5,0.027567,1675,103,0.40
monotona,75,50,6,0.027977,1851,111,0.40
monotona,75,50,7,0.033103,1789,111,0.40
monotona,75,50,8,0.026300,1658,108,0.40
monotona,75,50,9,0.033672,2122,104,0.40
monotona,75,50,10,0.024760,1337,112,0.40
monotona,75,50,1,0.025126,2140,105,0.50
monotona,75,50,2,0.014093,1123,113,0.50
monotona,75,50,3,0.031801,2717,110,0.50
monotona,75,50,4,0.018494,1678,104,0.50
monotona,75,50,5,0.020515,1748,117,0.50
monotona,75,50,6,0.015274,1187,120,0.50
monotona,75,50,7,0.014415,1318,115,0.50
monotona,75,50,8,0.047725,3841,104,0.50
monotona,75,50,9,0.019005,1544,108,0.50
monotona,75,50,10,0.013124,1074,114,0.50
monotona,75,50,1,0.016438,2005,114,0.60
monotona,75,50,2,0.010593,1523,126,0.60
monotona,75,50,3,0.014991,2038,107,0.60
monotona,75,50,4,0.013242,1517,120,0.60
monotona,75,50,5,0.015406,2029,124,0.60
monotona,75,50,6,0.020920,2445,115,0.60
monotona,75,50,7,0.017831,2020,119,0.60
monotona,75,50,8,0.018786,2528,123,0.60
monotona,75,50,9,0.008447,1205,121,0.60
monotona,75,50,10,0.010594,1208,120,0.60
monotona,75,50,1,0.006628,1192,135,0.70
